,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
85,Geraldton,40,CA,1551650400,49,49.72,-86.95,-0.41,9.17
86,Ponta do Sol,80,BR,1551654094,93,-20.63,-46.0,66.68,5.64
87,Namatanai,12,PG,1551654153,100,-3.66,152.44,83.11,5.64
88,Lisala,76,CD,1551654154,89,2.15,21.52,72.31,2.17
89,Torbay,90,CA,1551653304,85,47.66,-52.73,24.01,20.8
90,Loikaw,0,MM,1551654155,89,19.67,97.21,52.46,2.17
91,Kapaa,90,US,1551653596,60,22.08,-159.32,75.2,18.34
92,Pisco,40,PE,1551650400,30,-13.71,-76.2,71.6,18.34
93,Severo-Kurilsk,68,RU,1551653758,100,50.68,156.12,25.46,21.74
94,East London,0,ZA,1551653610,100,-33.02,27.91,74.83,16.37
95,Alyangula,12,AU,1551650400,100,-13.85,136.42,77.0,7.99
96,Tutoia,40,BR,1551649500,69,-2.76,-42.27,80.6,8.05
97,Sinnamary,92,GF,1551654157,88,5.38,-52.96,80.63,12.35
98,Tuatapere,56,NZ,1551653405,54,-46.13,167.69,69.01,8.99
99,Dapaong,8,TG,1551654157,29,10.86,0.2,72.31,5.75
100,Nhulunbuy,40,AU,1551650400,94,-12.18,136.78,78.8,7.76
101,Gouyave,75,GD,1551650400,69,12.16,-61.73,80.6,20.8
102,Yar-Sale,80,RU,1551654158,85,66.83,70.83,4.54,23.87
103,Manggar,32,ID,1551654158,98,-2.88,108.27,76.76,3.85
104,Businga,32,CD,1551654159,91,3.34,20.89,70.33,2.62
105,Bredasdorp,0,ZA,1551653140,82,-34.53,20.04,62.6,3.36
106,Nanortalik,80,GL,1551653825,100,60.14,-45.24,27.08,7.99
107,Payakumbuh,88,ID,1551654159,93,-0.23,100.63,71.0,1.5
108,Saint-Philippe,40,CA,1551653705,63,45.36,-73.48,30.2,6.93
109,Isangel,20,VU,1551653849,93,-19.55,169.27,84.28,6.98
110,Kualakapuas,40,ID,1551650400,94,-3.01,114.39,77.0,5.82
111,Dali,48,CN,1551653747,100,25.6,100.24,39.91,3.74
112,Waingapu,36,ID,1551654161,93,-9.65,120.26,79.24,3.51
113,Mandera,12,ET,1551654015,14,3.94,41.86,77.0,3.0
114,Leshukonskoye,68,RU,1551654161,71,64.9,45.76,8.36,3.4
115,Denison,90,US,1551654155,74,33.76,-96.54,32.0,14.99
116,Acapulco,5,MX,1551649740,74,16.86,-99.88,82.4,13.87
117,Lorengau,0,PG,1551653769,93,-2.02,147.27,84.82,5.75
118,Lachute,90,CA,1551654112,63,45.66,-74.34,30.2,4.7
119,Nandyal,0,IN,1551654115,90,15.47,78.48,69.2,3.62
120,Monrovia,20,LR,1551650400,94,6.33,-10.8,77.0,7.31
121,Clyde River,1,CA,1551650400,83,70.47,-68.59,-7.61,4.7
122,Longyearbyen,75,NO,1551649800,70,78.22,15.63,-4.01,6.93
123,Alofi,92,NU,1551650400,66,-19.06,-169.92,86.0,4.7
124,Bathsheba,20,BB,1551650400,69,13.22,-59.52,78.8,19.46
125,Avarua,68,CK,1551650400,70,-21.21,-159.78,84.2,6.93
126,Peniche,75,PT,1551654022,87,39.36,-9.38,59.0,11.41
127,Khatanga,32,RU,1551653775,70,71.98,102.47,-1.99,17.27
128,Nishihara,90,JP,1551653763,100,35.74,139.53,50.0,10.29
129,Ouadda,0,CF,1551654165,44,8.07,22.4,66.95,8.21
130,Cherskiy,32,RU,1551653731,71,68.75,161.3,-10.72,6.76
131,Povenets,68,RU,1551654166,85,62.85,34.83,11.74,2.84
132,Saint George,20,GR,1551649800,86,39.45,22.34,42.8,1.28
133,Cochabamba,75,BO,1551650400,38,-17.39,-66.16,73.4,5.82
134,Taltal,0,CL,1551653835,74,-25.41,-70.49,64.16,2.62
135,Saldanha,88,PT,1551653832,82,41.42,-6.55,51.83,13.47
136,Ahuimanu,1,US,1551654101,64,21.44,-157.84,78.8,11.41
137,Lyngseidet,90,NO,1551654020,92,69.58,20.21,19.4,11.41
138,Areia Branca,40,BR,1551650400,74,-10.76,-37.31,82.4,13.87
139,Provideniya,90,RU,1551650400,92,64.42,-173.23,30.2,33.55
140,Andapa,92,MG,1551654168,94,-14.66,49.65,70.69,2.17
141,Abadan,0,IR,1551650400,66,30.36,48.26,55.4,2.24
142,Ulaangom,32,MN,1551654169,66,49.98,92.07,-2.13,1.61
143,Fukue,75,JP,1551654106,93,35.03,136.69,51.01,5.82
144,Chipinge,8,ZW,1551653713,97,-20.19,32.62,69.25,2.95
145,Sao Joao da Barra,20,BR,1551650400,83,-21.64,-41.05,80.6,9.17
146,Axim,36,GH,1551654127,95,4.87,-2.24,83.6,15.37
147,Tasiilaq,92,GL,1551649800,73,65.61,-37.64,23.0,18.34
148,Kalmunai,44,LK,1551653843,97,7.42,81.82,73.25,2.73
149,Deputatskiy,0,RU,1551653798,49,69.3,139.9,-31.2,2.73
150,Pevek,68,RU,1551653750,87,69.7,170.27,4.4,9.22
151,Cidreira,20,BR,1551653756,79,-30.17,-50.22,73.66,11.01
152,Esperance,75,TT,1551653707,88,10.24,-61.45,75.2,12.75
153,Savinka,68,RU,1551654171,84,50.08,47.1,19.57,16.49
154,Shizuishan,0,CN,1551654172,61,39.02,106.36,15.7,2.39
155,Guaymango,0,SV,1551654172,65,13.75,-89.85,81.13,3.85
156,Kiama,0,AU,1551654136,69,-34.67,150.86,75.99,8.05
157,Butaritari,92,KI,1551653723,100,3.07,172.79,79.33,10.45
158,Upernavik,32,GL,1551653750,100,72.79,-56.15,8.95,3.29
159,Cape Town,0,ZA,1551653574,88,-33.93,18.42,66.99,2.24
160,Lavrentiya,88,RU,1551653752,95,65.58,-170.99,28.43,34.61
